name,place_code,url,kana
西広島駅,hiroshima/A3401/A340122/R7547,https://tabelog.com/hiroshima/A3401/A340122/R7547/rstLst/,にしこうしまえき
新井口駅,hiroshima/A3401/A340122/R5063,https://tabelog.com/hiroshima/A3401/A340122/R5063/rstLst/,あらいくちえき
三滝駅,hiroshima/A3401/A340122/R9483,https://tabelog.com/hiroshima/A3401/A340122/R9483/rstLst/,さんたきえき
天満町駅,hiroshima/A3401/A340122/R6547,https://tabelog.com/hiroshima/A3401/A340122/R6547/rstLst/,てんままちえき
観音町駅,hiroshima/A3401/A340122/R2940,https://tabelog.com/hiroshima/A3401/A340122/R2940/rstLst/,かんのんまちえき
西観音町駅,hiroshima/A3401/A340122/R7393,https://tabelog.com/hiroshima/A3401/A340122/R7393/rstLst/,にしかんのんまちえき
福島町駅,hiroshima/A3401/A340122/R8718,https://tabelog.com/hiroshima/A3401/A340122/R8718/rstLst/,ふくしままちえき
広電西広島駅（己斐）,hiroshima/A3401/A340122/R8635,https://tabelog.com/hiroshima/A3401/A340122/R8635/rstLst/,ひろでんにしこうしまえき（おのれひ）
東高須駅,hiroshima/A3401/A340122/R8230,https://tabelog.com/hiroshima/A3401/A340122/R8230/rstLst/,ひがしこうすえき
高須駅,hiroshima/A3401/A340122/R5765,https://tabelog.com/hiroshima/A3401/A340122/R5765/rstLst/,たかすえき
